ccaa,year,sexo,tasabrutaFP_Media
Andalucia,1990,hombre,14.9
Andalucia,1990,mujer,17.5
Andalucia,1991,hombre,15.9
Andalucia,1991,mujer,18.4
Andalucia,1992,hombre,16.6
Andalucia,1992,mujer,18.4
Andalucia,1993,hombre,13.6
Andalucia,1993,mujer,16.4
Andalucia,1994,hombre,13.1
Andalucia,1994,mujer,16.0
Andalucia,1995,hombre,12.4
Andalucia,1995,mujer,14.6
Andalucia,1996,hombre,11.8
Andalucia,1996,mujer,12.3
Andalucia,1997,hombre,12.5
Andalucia,1997,mujer,12.5
Andalucia,1998,hombre,15.7
Andalucia,1998,mujer,18.4
Andalucia,1999,hombre,6.6
Andalucia,1999,mujer,9.2
Andalucia,2000,hombre,8.1
Andalucia,2000,mujer,10.6
Andalucia,2001,hombre,11.0
Andalucia,2001,mujer,13.9
Andalucia,2002,hombre,14.8
Andalucia,2002,mujer,21.8
Andalucia,2003,hombre,16.3
Andalucia,2003,mujer,23.8
Andalucia,2004,hombre,15.3
Andalucia,2004,mujer,24.1
Andalucia,2005,hombre,15.5
Andalucia,2005,mujer,23.3
Andalucia,2006,hombre,14.5
Andalucia,2006,mujer,23.9
Andalucia,2007,hombre,15.2
Andalucia,2007,mujer,23.1
Andalucia,2008,hombre,13.8
Andalucia,2008,mujer,19.3
Andalucia,2009,hombre,15.8
Andalucia,2009,mujer,20.3
Andalucia,2010,hombre,15.8
Andalucia,2010,mujer,21.7
Andalucia,2011,hombre,20.3
Andalucia,2011,mujer,23.2
Andalucia,2012,hombre,20.3
Andalucia,2012,mujer,21.8
Andalucia,2013,hombre,22.7
Andalucia,2013,mujer,23.3
Andalucia,2014,hombre,22.0
Andalucia,2014,mujer,22.8
Andalucia,2015,hombre,22.6
Andalucia,2015,mujer,23.6
Andalucia,2016,hombre,22.5
Andalucia,2016,mujer,22.9
Andalucia,2017,hombre,21.9
Andalucia,2017,mujer,21.0
Andalucia,2018,hombre,22.2
Andalucia,2018,mujer,21.7
Andalucia,2019,hombre,21.2
Andalucia,2019,mujer,21.8
Andalucia,2020,hombre,27.0
Andalucia,2020,mujer,27.1
Andalucia,2021,hombre,25.2
Andalucia,2021,mujer,25.5
Andalucia,2022,hombre,26.4
Andalucia,2022,mujer,25.8
Aragon,1990,hombre,23.2
Aragon,1990,mujer,21.3
Aragon,1991,hombre,25.6
Aragon,1991,mujer,20.5
Aragon,1992,hombre,24.6
Aragon,1992,mujer,19.8
Aragon,1993,hombre,24.0
Aragon,1993,mujer,19.7
Aragon,1994,hombre,25.5
Aragon,1994,mujer,19.7
Aragon,1995,hombre,28.5
Aragon,1995,mujer,17.6
Aragon,1996,hombre,21.9
Aragon,1996,mujer,15.5
Aragon,1997,hombre,17.2
Aragon,1997,mujer,11.0
Aragon,1998,hombre,18.2
Aragon,1998,mujer,14.9
Aragon,1999,hombre,14.6
Aragon,1999,mujer,11.9
Aragon,2000,hombre,17.8
Aragon,2000,mujer,14.6
Aragon,2001,hombre,16.1
Aragon,2001,mujer,16.2
Aragon,2002,hombre,17.6
Aragon,2002,mujer,17.4
Aragon,2003,hombre,18.3
Aragon,2003,mujer,15.4
Aragon,2004,hombre,17.7
Aragon,2004,mujer,19.0
Aragon,2005,hombre,17.6
Aragon,2005,mujer,17.5
Aragon,2006,hombre,20.9
Aragon,2006,mujer,19.1
Aragon,2007,hombre,20.3
Aragon,2007,mujer,19.3
Aragon,2008,hombre,20.7
Aragon,2008,mujer,19.9
Aragon,2009,hombre,22.3
Aragon,2009,mujer,19.9
Aragon,2010,hombre,22.8
Aragon,2010,mujer,24.7
Aragon,2011,hombre,28.5
Aragon,2011,mujer,24.5
Aragon,2012,hombre,26.4
Aragon,2012,mujer,17.8
Aragon,2013,hombre,26.3
Aragon,2013,mujer,18.0
Aragon,2014,hombre,30.4
Aragon,2014,mujer,24.1
Aragon,2015,hombre,29.2
Aragon,2015,mujer,23.4
Aragon,2016,hombre,28.5
Aragon,2016,mujer,21.4
Aragon,2017,hombre,29.2
Aragon,2017,mujer,21.8
Aragon,2018,hombre,25.9
Aragon,2018,mujer,20.7
Aragon,2019,hombre,25.2
Aragon,2019,mujer,22.1
Aragon,2020,hombre,30.9
Aragon,2020,mujer,27.3
Aragon,2021,hombre,29.4
Aragon,2021,mujer,22.1
Aragon,2022,hombre,29.1
Aragon,2022,mujer,27.2
Asturias,1990,hombre,15.7
Asturias,1990,mujer,17.9
Asturias,1991,hombre,17.9
Asturias,1991,mujer,14.8
Asturias,1992,hombre,16.5
Asturias,1992,mujer,18.1
Asturias,1993,hombre,16.9
Asturias,1993,mujer,14.5
Asturias,1994,hombre,14.1
Asturias,1994,mujer,15.5
Asturias,1995,hombre,14.5
Asturias,1995,mujer,13.0
Asturias,1996,hombre,14.2
Asturias,1996,mujer,11.5
Asturias,1997,hombre,13.6
Asturias,1997,mujer,10.3
Asturias,1998,hombre,11.9
Asturias,1998,mujer,10.9
Asturias,1999,hombre,14.4
Asturias,1999,mujer,12.3
Asturias,2000,hombre,14.3
Asturias,2000,mujer,12.3
Asturias,2001,hombre,17.5
Asturias,2001,mujer,15.4
Asturias,2002,hombre,16.9
Asturias,2002,mujer,13.3
Asturias,2003,hombre,18.4
Asturias,2003,mujer,15.9
Asturias,2004,hombre,20.2
Asturias,2004,mujer,15.8
Asturias,2005,hombre,20.7
Asturias,2005,mujer,18.4
Asturias,2006,hombre,20.9
Asturias,2006,mujer,18.8
Asturias,2007,hombre,20.2
Asturias,2007,mujer,20.4
Asturias,2008,hombre,18.9
Asturias,2008,mujer,21.2
Asturias,2009,hombre,19.4
Asturias,2009,mujer,22.5
Asturias,2010,hombre,23.7
Asturias,2010,mujer,28.4
Asturias,2011,hombre,28.3
Asturias,2011,mujer,33.1
Asturias,2012,hombre,31.2
Asturias,2012,mujer,31.9
Asturias,2013,hombre,34.0
Asturias,2013,mujer,32.1
Asturias,2014,hombre,33.7
Asturias,2014,mujer,35.0
Asturias,2015,hombre,31.2
Asturias,2015,mujer,32.9
Asturias,2016,hombre,27.4
Asturias,2016,mujer,31.3
Asturias,2017,hombre,26.3
Asturias,2017,mujer,27.7
Asturias,2018,hombre,24.9
Asturias,2018,mujer,30.0
Asturias,2019,hombre,23.8
Asturias,2019,mujer,27.6
Asturias,2020,hombre,29.2
Asturias,2020,mujer,32.9
Asturias,2021,hombre,24.1
Asturias,2021,mujer,29.0
Asturias,2022,hombre,23.9
Asturias,2022,mujer,29.2
Canarias,1990,hombre,17.2
Canarias,1990,mujer,18.5
Canarias,1991,hombre,11.8
Canarias,1991,mujer,16.6
Canarias,1992,hombre,19.6
Canarias,1992,mujer,23.6
Canarias,1993,hombre,18.0
Canarias,1993,mujer,19.9
Canarias,1994,hombre,23.9
Canarias,1994,mujer,25.9
Canarias,1995,hombre,12.7
Canarias,1995,mujer,13.5
Canarias,1996,hombre,25.8
Canarias,1996,mujer,26.1
Canarias,1997,hombre,10.8
Canarias,1997,mujer,12.4
Canarias,1998,hombre,8.7
Canarias,1998,mujer,10.5
Canarias,1999,hombre,7.7
Canarias,1999,mujer,5.1
Canarias,2000,hombre,10.4
Canarias,2000,mujer,7.7
Canarias,2001,hombre,11.4
Canarias,2001,mujer,11.0
Canarias,2002,hombre,10.0
Canarias,2002,mujer,10.4
Canarias,2003,hombre,14.3
Canarias,2003,mujer,16.6
Canarias,2004,hombre,14.4
Canarias,2004,mujer,15.9
Canarias,2005,hombre,13.9
Canarias,2005,mujer,15.7
Canarias,2006,hombre,15.0
Canarias,2006,mujer,12.8
Canarias,2007,hombre,12.9
Canarias,2007,mujer,17.3
Canarias,2008,hombre,16.6
Canarias,2008,mujer,17.6
Canarias,2009,hombre,17.0
Canarias,2009,mujer,22.0
Canarias,2010,hombre,17.9
Canarias,2010,mujer,23.0
Canarias,2011,hombre,20.7
Canarias,2011,mujer,22.7
Canarias,2012,hombre,21.5
Canarias,2012,mujer,21.9
Canarias,2013,hombre,25.3
Canarias,2013,mujer,24.2
Canarias,2014,hombre,28.7
Canarias,2014,mujer,28.2
Canarias,2015,hombre,26.4
Canarias,2015,mujer,26.6
Canarias,2016,hombre,24.3
Canarias,2016,mujer,23.9
Canarias,2017,hombre,24.8
Canarias,2017,mujer,24.3
Canarias,2018,hombre,23.5
Canarias,2018,mujer,22.8
Canarias,2019,hombre,20.9
Canarias,2019,mujer,23.5
Canarias,2020,hombre,26.9
Canarias,2020,mujer,26.1
Canarias,2021,hombre,22.0
Canarias,2021,mujer,23.6
Canarias,2022,hombre,23.0
Canarias,2022,mujer,25.2
Cantabria,1990,hombre,19.8
Cantabria,1990,mujer,24.4
Cantabria,1991,hombre,18.4
Cantabria,1991,mujer,22.1
Cantabria,1992,hombre,19.0
Cantabria,1992,mujer,20.4
Cantabria,1993,hombre,19.7
Cantabria,1993,mujer,22.9
Cantabria,1994,hombre,18.9
Cantabria,1994,mujer,19.8
Cantabria,1995,hombre,14.7
Cantabria,1995,mujer,17.8
Cantabria,1996,hombre,16.0
Cantabria,1996,mujer,15.4
Cantabria,1997,hombre,13.9
Cantabria,1997,mujer,16.8
Cantabria,1998,hombre,16.7
Cantabria,1998,mujer,18.2
Cantabria,1999,hombre,10.0
Cantabria,1999,mujer,13.3
Cantabria,2000,hombre,13.6
Cantabria,2000,mujer,15.7
Cantabria,2001,hombre,16.2
Cantabria,2001,mujer,17.3
Cantabria,2002,hombre,17.9
Cantabria,2002,mujer,20.4
Cantabria,2003,hombre,16.2
Cantabria,2003,mujer,23.1
Cantabria,2004,hombre,17.2
Cantabria,2004,mujer,24.9
Cantabria,2005,hombre,19.6
Cantabria,2005,mujer,23.5
Cantabria,2006,hombre,18.4
Cantabria,2006,mujer,23.0
Cantabria,2007,hombre,18.1
Cantabria,2007,mujer,23.5
Cantabria,2008,hombre,13.8
Cantabria,2008,mujer,17.6
Cantabria,2009,hombre,18.7
Cantabria,2009,mujer,27.4
Cantabria,2010,hombre,24.1
Cantabria,2010,mujer,30.1
Cantabria,2011,hombre,23.7
Cantabria,2011,mujer,33.8
Cantabria,2012,hombre,30.4
Cantabria,2012,mujer,32.9
Cantabria,2013,hombre,36.8
Cantabria,2013,mujer,34.4
Cantabria,2014,hombre,33.9
Cantabria,2014,mujer,35.5
Cantabria,2015,hombre,36.1
Cantabria,2015,mujer,34.7
Cantabria,2016,hombre,32.8
Cantabria,2016,mujer,29.0
Cantabria,2017,hombre,25.9
Cantabria,2017,mujer,28.9
Cantabria,2018,hombre,29.5
Cantabria,2018,mujer,30.4
Cantabria,2019,hombre,27.3
Cantabria,2019,mujer,26.4
Cantabria,2020,hombre,32.7
Cantabria,2020,mujer,31.9
Cantabria,2021,hombre,31.8
Cantabria,2021,mujer,31.2
Cantabria,2022,hombre,30.3
Cantabria,2022,mujer,31.4
Castilla La Mancha,1990,hombre,15.2
Castilla La Mancha,1990,mujer,16.5
Castilla La Mancha,1991,hombre,14.5
Castilla La Mancha,1991,mujer,15.3
Castilla La Mancha,1992,hombre,15.3
Castilla La Mancha,1992,mujer,17.6
Castilla La Mancha,1993,hombre,14.7
Castilla La Mancha,1993,mujer,17.9
Castilla La Mancha,1994,hombre,12.8
Castilla La Mancha,1994,mujer,16.6
Castilla La Mancha,1995,hombre,10.7
Castilla La Mancha,1995,mujer,14.1
Castilla La Mancha,1996,hombre,9.3
Castilla La Mancha,1996,mujer,11.6
Castilla La Mancha,1997,hombre,7.5
Castilla La Mancha,1997,mujer,8.6
Castilla La Mancha,1998,hombre,6.3
Castilla La Mancha,1998,mujer,7.9
Castilla La Mancha,1999,hombre,7.3
Castilla La Mancha,1999,mujer,7.8
Castilla La Mancha,2000,hombre,9.0
Castilla La Mancha,2000,mujer,8.9
Castilla La Mancha,2001,hombre,10.1
Castilla La Mancha,2001,mujer,10.1
Castilla La Mancha,2002,hombre,11.6
Castilla La Mancha,2002,mujer,10.9
Castilla La Mancha,2003,hombre,11.2
Castilla La Mancha,2003,mujer,11.6
Castilla La Mancha,2004,hombre,13.1
Castilla La Mancha,2004,mujer,13.1
Castilla La Mancha,2005,hombre,11.8
Castilla La Mancha,2005,mujer,13.0
Castilla La Mancha,2006,hombre,10.7
Castilla La Mancha,2006,mujer,13.3
Castilla La Mancha,2007,hombre,12.2
Castilla La Mancha,2007,mujer,13.8
Castilla La Mancha,2008,hombre,14.0
Castilla La Mancha,2008,mujer,16.1
Castilla La Mancha,2009,hombre,15.5
Castilla La Mancha,2009,mujer,16.6
Castilla La Mancha,2010,hombre,18.2
Castilla La Mancha,2010,mujer,21.0
Castilla La Mancha,2011,hombre,22.8
Castilla La Mancha,2011,mujer,24.9
Castilla La Mancha,2012,hombre,21.4
Castilla La Mancha,2012,mujer,21.3
Castilla La Mancha,2013,hombre,23.1
Castilla La Mancha,2013,mujer,23.4
Castilla La Mancha,2014,hombre,23.5
Castilla La Mancha,2014,mujer,23.2
Castilla La Mancha,2015,hombre,24.0
Castilla La Mancha,2015,mujer,23.4
Castilla La Mancha,2016,hombre,22.9
Castilla La Mancha,2016,mujer,22.5
Castilla La Mancha,2017,hombre,21.6
Castilla La Mancha,2017,mujer,21.7
Castilla La Mancha,2018,hombre,22.1
Castilla La Mancha,2018,mujer,20.9
Castilla La Mancha,2019,hombre,21.1
Castilla La Mancha,2019,mujer,20.9
Castilla La Mancha,2020,hombre,26.1
Castilla La Mancha,2020,mujer,26.4
Castilla La Mancha,2021,hombre,23.2
Castilla La Mancha,2021,mujer,23.6
Castilla La Mancha,2022,hombre,22.8
Castilla La Mancha,2022,mujer,25.0
Castilla y Leon,1990,hombre,18.3
Castilla y Leon,1990,mujer,17.1
Castilla y Leon,1991,hombre,18.5
Castilla y Leon,1991,mujer,17.8
Castilla y Leon,1992,hombre,18.6
Castilla y Leon,1992,mujer,19.2
Castilla y Leon,1993,hombre,17.0
Castilla y Leon,1993,mujer,16.8
Castilla y Leon,1994,hombre,16.1
Castilla y Leon,1994,mujer,16.1
Castilla y Leon,1995,hombre,16.6
Castilla y Leon,1995,mujer,15.5
Castilla y Leon,1996,hombre,15.4
Castilla y Leon,1996,mujer,13.6
Castilla y Leon,1997,hombre,13.2
Castilla y Leon,1997,mujer,12.6
Castilla y Leon,1998,hombre,14.0
Castilla y Leon,1998,mujer,14.2
Castilla y Leon,1999,hombre,12.0
Castilla y Leon,1999,mujer,12.3
Castilla y Leon,2000,hombre,14.8
Castilla y Leon,2000,mujer,12.9
Castilla y Leon,2001,hombre,18.0
Castilla y Leon,2001,mujer,14.9
Castilla y Leon,2002,hombre,16.7
Castilla y Leon,2002,mujer,15.2
Castilla y Leon,2003,hombre,17.3
Castilla y Leon,2003,mujer,17.6
Castilla y Leon,2004,hombre,18.3
Castilla y Leon,2004,mujer,17.0
Castilla y Leon,2005,hombre,18.6
Castilla y Leon,2005,mujer,20.3
Castilla y Leon,2006,hombre,17.3
Castilla y Leon,2006,mujer,17.1
Castilla y Leon,2007,hombre,17.1
Castilla y Leon,2007,mujer,17.4
Castilla y Leon,2008,hombre,16.9
Castilla y Leon,2008,mujer,17.4
Castilla y Leon,2009,hombre,19.1
Castilla y Leon,2009,mujer,19.9
Castilla y Leon,2010,hombre,20.2
Castilla y Leon,2010,mujer,21.5
Castilla y Leon,2011,hombre,25.7
Castilla y Leon,2011,mujer,25.5
Castilla y Leon,2012,hombre,23.7
Castilla y Leon,2012,mujer,21.5
Castilla y Leon,2013,hombre,29.0
Castilla y Leon,2013,mujer,25.0
Castilla y Leon,2014,hombre,27.2
Castilla y Leon,2014,mujer,24.9
Castilla y Leon,2015,hombre,27.9
Castilla y Leon,2015,mujer,26.2
Castilla y Leon,2016,hombre,24.5
Castilla y Leon,2016,mujer,22.7
Castilla y Leon,2017,hombre,22.2
Castilla y Leon,2017,mujer,21.4
Castilla y Leon,2018,hombre,23.3
Castilla y Leon,2018,mujer,22.4
Castilla y Leon,2019,hombre,21.4
Castilla y Leon,2019,mujer,19.6
Castilla y Leon,2020,hombre,31.0
Castilla y Leon,2020,mujer,25.1
Castilla y Leon,2021,hombre,25.8
Castilla y Leon,2021,mujer,22.2
Castilla y Leon,2022,hombre,26.0
Castilla y Leon,2022,mujer,23.0
Cataluña,1990,hombre,20.8
Cataluña,1990,mujer,24.9
Cataluña,1991,hombre,22.6
Cataluña,1991,mujer,24.4
Cataluña,1992,hombre,22.3
Cataluña,1992,mujer,24.9
Cataluña,1993,hombre,26.6
Cataluña,1993,mujer,28.0
Cataluña,1994,hombre,22.9
Cataluña,1994,mujer,24.2
Cataluña,1995,hombre,21.0
Cataluña,1995,mujer,21.4
Cataluña,1996,hombre,18.7
Cataluña,1996,mujer,19.0
Cataluña,1997,hombre,14.4
Cataluña,1997,mujer,14.5
Cataluña,1998,hombre,14.8
Cataluña,1998,mujer,19.0
Cataluña,1999,hombre,10.5
Cataluña,1999,mujer,11.2
Cataluña,2000,hombre,13.2
Cataluña,2000,mujer,13.3
Cataluña,2001,hombre,15.6
Cataluña,2001,mujer,16.3
Cataluña,2002,hombre,16.4
Cataluña,2002,mujer,16.8
Cataluña,2003,hombre,16.6
Cataluña,2003,mujer,16.3
Cataluña,2004,hombre,15.3
Cataluña,2004,mujer,16.6
Cataluña,2005,hombre,16.0
Cataluña,2005,mujer,17.1
Cataluña,2006,hombre,18.3
Cataluña,2006,mujer,18.3
Cataluña,2007,hombre,18.5
Cataluña,2007,mujer,19.1
Cataluña,2008,hombre,20.3
Cataluña,2008,mujer,22.5
Cataluña,2009,hombre,22.0
Cataluña,2009,mujer,20.8
Cataluña,2010,hombre,22.2
Cataluña,2010,mujer,19.7
Cataluña,2011,hombre,27.2
Cataluña,2011,mujer,24.8
Cataluña,2012,hombre,27.6
Cataluña,2012,mujer,24.9
Cataluña,2013,hombre,28.4
Cataluña,2013,mujer,25.3
Cataluña,2014,hombre,26.3
Cataluña,2014,mujer,23.8
Cataluña,2015,hombre,26.5
Cataluña,2015,mujer,23.7
Cataluña,2016,hombre,26.4
Cataluña,2016,mujer,24.2
Cataluña,2017,hombre,25.5
Cataluña,2017,mujer,23.4
Cataluña,2018,hombre,28.3
Cataluña,2018,mujer,27.0
Cataluña,2019,hombre,31.4
Cataluña,2019,mujer,30.2
Cataluña,2020,hombre,30.1
Cataluña,2020,mujer,30.4
Cataluña,2021,hombre,28.6
Cataluña,2021,mujer,34.9
Cataluña,2022,hombre,31.9
Cataluña,2022,mujer,36.8
Ceuta,1990,hombre,6.3
Ceuta,1990,mujer,7.8
Ceuta,1991,hombre,7.1
Ceuta,1991,mujer,10.9
Ceuta,1992,hombre,5.5
Ceuta,1992,mujer,5.8
Ceuta,1993,hombre,5.2
Ceuta,1993,mujer,9.9
Ceuta,1994,hombre,7.5
Ceuta,1994,mujer,9.8
Ceuta,1995,hombre,7.3
Ceuta,1995,mujer,13.7
Ceuta,1996,hombre,8.2
Ceuta,1996,mujer,15.0
Ceuta,1997,hombre,5.7
Ceuta,1997,mujer,12.7
Ceuta,1998,hombre,7.5
Ceuta,1998,mujer,12.6
Ceuta,1999,hombre,2.1
Ceuta,1999,mujer,9.1
Ceuta,2000,hombre,5.3
Ceuta,2000,mujer,6.2
Ceuta,2001,hombre,6.2
Ceuta,2001,mujer,8.3
Ceuta,2002,hombre,7.6
Ceuta,2002,mujer,10.7
Ceuta,2003,hombre,7.2
Ceuta,2003,mujer,9.9
Ceuta,2004,hombre,6.3
Ceuta,2004,mujer,10.4
Ceuta,2005,hombre,3.7
Ceuta,2005,mujer,6.8
Ceuta,2006,hombre,7.7
Ceuta,2006,mujer,15.5
Ceuta,2007,hombre,6.2
Ceuta,2007,mujer,12.0
Ceuta,2008,hombre,6.0
Ceuta,2008,mujer,12.2
Ceuta,2009,hombre,6.0
Ceuta,2009,mujer,14.1
Ceuta,2010,hombre,12.6
Ceuta,2010,mujer,16.0
Ceuta,2011,hombre,19.3
Ceuta,2011,mujer,16.4
Ceuta,2012,hombre,22.8
Ceuta,2012,mujer,14.4
Ceuta,2013,hombre,20.6
Ceuta,2013,mujer,20.9
Ceuta,2014,hombre,21.6
Ceuta,2014,mujer,19.3
Ceuta,2015,hombre,19.2
Ceuta,2015,mujer,17.7
Ceuta,2016,hombre,23.0
Ceuta,2016,mujer,17.8
Ceuta,2017,hombre,19.7
Ceuta,2017,mujer,19.8
Ceuta,2018,hombre,19.8
Ceuta,2018,mujer,22.6
Ceuta,2019,hombre,17.0
Ceuta,2019,mujer,20.4
Ceuta,2020,hombre,20.7
Ceuta,2020,mujer,25.5
Ceuta,2021,hombre,28.5
Ceuta,2021,mujer,25.7
Ceuta,2022,hombre,23.2
Ceuta,2022,mujer,31.0
Comunidad Valenciana,1990,hombre,16.3
Comunidad Valenciana,1990,mujer,19.4
Comunidad Valenciana,1991,hombre,17.6
Comunidad Valenciana,1991,mujer,21.2
Comunidad Valenciana,1992,hombre,19.1
Comunidad Valenciana,1992,mujer,24.2
Comunidad Valenciana,1993,hombre,20.2
Comunidad Valenciana,1993,mujer,20.8
Comunidad Valenciana,1994,hombre,18.8
Comunidad Valenciana,1994,mujer,19.9
Comunidad Valenciana,1995,hombre,18.7
Comunidad Valenciana,1995,mujer,20.2
Comunidad Valenciana,1996,hombre,16.2
Comunidad Valenciana,1996,mujer,18.5
Comunidad Valenciana,1997,hombre,16.1
Comunidad Valenciana,1997,mujer,17.7
Comunidad Valenciana,1998,hombre,14.0
Comunidad Valenciana,1998,mujer,18.1
Comunidad Valenciana,1999,hombre,7.7
Comunidad Valenciana,1999,mujer,11.2
Comunidad Valenciana,2000,hombre,8.3
Comunidad Valenciana,2000,mujer,12.5
Comunidad Valenciana,2001,hombre,12.5
