ccaa,year,sexo,tasanetaFP_Media
Andalucia,2016,hombre,21.6
Andalucia,2016,mujer,20.8
Andalucia,2017,hombre,21.6
Andalucia,2017,mujer,19.9
Andalucia,2018,hombre,21.5
Andalucia,2018,mujer,20.7
Andalucia,2019,hombre,20.4
Andalucia,2019,mujer,20.6
Andalucia,2020,hombre,26.8
Andalucia,2020,mujer,26.4
Andalucia,2021,hombre,25.3
Andalucia,2021,mujer,24.7
Aragon,2016,hombre,27.1
Aragon,2016,mujer,18.8
Aragon,2017,hombre,28.6
Aragon,2017,mujer,19.6
Aragon,2018,hombre,24.5
Aragon,2018,mujer,18.7
Aragon,2019,hombre,23.9
Aragon,2019,mujer,19.5
Aragon,2020,hombre,29.8
Aragon,2020,mujer,25.4
Aragon,2021,hombre,28.6
Aragon,2021,mujer,21.0
Asturias,2016,hombre,23.9
Asturias,2016,mujer,22.4
Asturias,2017,hombre,23.8
Asturias,2017,mujer,21.0
Asturias,2018,hombre,23.0
Asturias,2018,mujer,22.3
Asturias,2019,hombre,21.0
Asturias,2019,mujer,20.7
Asturias,2020,hombre,26.8
Asturias,2020,mujer,27.2
Asturias,2021,hombre,23.2
Asturias,2021,mujer,23.7
Canarias,2016,hombre,22.2
Canarias,2016,mujer,20.0
Canarias,2017,hombre,23.5
Canarias,2017,mujer,20.1
Canarias,2018,hombre,21.8
Canarias,2018,mujer,18.9
Canarias,2019,hombre,19.1
Canarias,2019,mujer,19.1
Canarias,2020,hombre,25.1
Canarias,2020,mujer,22.3
Canarias,2021,hombre,20.8
Canarias,2021,mujer,20.3
Cantabria,2016,hombre,30.1
Cantabria,2016,mujer,25.7
Cantabria,2017,hombre,25.3
Cantabria,2017,mujer,26.5
Cantabria,2018,hombre,27.8
Cantabria,2018,mujer,26.8
Cantabria,2019,hombre,26.8
Cantabria,2019,mujer,23.8
Cantabria,2020,hombre,33.1
Cantabria,2020,mujer,30.2
Cantabria,2021,hombre,31.5
Cantabria,2021,mujer,30.2
Castilla La Mancha,2016,hombre,21.4
Castilla La Mancha,2016,mujer,20.2
Castilla La Mancha,2017,hombre,20.8
Castilla La Mancha,2017,mujer,19.9
Castilla La Mancha,2018,hombre,20.5
Castilla La Mancha,2018,mujer,18.9
Castilla La Mancha,2019,hombre,19.8
Castilla La Mancha,2019,mujer,19.0
Castilla La Mancha,2020,hombre,25.1
Castilla La Mancha,2020,mujer,25.2
Castilla La Mancha,2021,hombre,22.7
Castilla La Mancha,2021,mujer,21.9
Castilla y Leon,2016,hombre,22.1
Castilla y Leon,2016,mujer,19.8
Castilla y Leon,2017,hombre,21.5
Castilla y Leon,2017,mujer,19.2
Castilla y Leon,2018,hombre,21.9
Castilla y Leon,2018,mujer,20.0
Castilla y Leon,2019,hombre,20.4
Castilla y Leon,2019,mujer,17.4
Castilla y Leon,2020,hombre,29.3
Castilla y Leon,2020,mujer,23.6
Castilla y Leon,2021,hombre,24.8
Castilla y Leon,2021,mujer,20.6
Cataluña,2016,hombre,25.8
Cataluña,2016,mujer,22.9
Cataluña,2017,hombre,25.4
Cataluña,2017,mujer,22.4
Cataluña,2018,hombre,27.4
Cataluña,2018,mujer,25.1
Cataluña,2019,hombre,30.7
Cataluña,2019,mujer,28.1
Cataluña,2020,hombre,29.7
Cataluña,2020,mujer,28.7
Cataluña,2021,hombre,28.2
Cataluña,2021,mujer,32.7
Ceuta,2016,hombre,19.7
Ceuta,2016,mujer,17.7
Ceuta,2017,hombre,17.3
Ceuta,2017,mujer,18.5
Ceuta,2018,hombre,18.3
Ceuta,2018,mujer,19.7
Ceuta,2019,hombre,15.2
Ceuta,2019,mujer,19.5
Ceuta,2020,hombre,20.6
Ceuta,2020,mujer,25.4
Ceuta,2021,hombre,30.3
Ceuta,2021,mujer,25.3
Comunidad Valenciana,2016,hombre,23.5
Comunidad Valenciana,2016,mujer,21.3
Comunidad Valenciana,2017,hombre,26.5
Comunidad Valenciana,2017,mujer,24.4
Comunidad Valenciana,2018,hombre,26.2
Comunidad Valenciana,2018,mujer,25.0
Comunidad Valenciana,2019,hombre,25.9
Comunidad Valenciana,2019,mujer,24.6
Comunidad Valenciana,2020,hombre,29.4
Comunidad Valenciana,2020,mujer,28.8
Comunidad Valenciana,2021,hombre,29.3
Comunidad Valenciana,2021,mujer,28.3
Extremadura,2016,hombre,21.8
Extremadura,2016,mujer,22.4
Extremadura,2017,hombre,22.6
Extremadura,2017,mujer,23.9
Extremadura,2018,hombre,22.9
Extremadura,2018,mujer,22.4
Extremadura,2019,hombre,23.0
Extremadura,2019,mujer,21.1
Extremadura,2020,hombre,29.2
Extremadura,2020,mujer,27.3
Extremadura,2021,hombre,26.5
Extremadura,2021,mujer,23.6
Galicia,2016,hombre,27.2
Galicia,2016,mujer,22.4
Galicia,2017,hombre,26.6
Galicia,2017,mujer,23.0
Galicia,2018,hombre,27.5
Galicia,2018,mujer,22.7
Galicia,2019,hombre,26.0
Galicia,2019,mujer,21.2
Galicia,2020,hombre,32.8
Galicia,2020,mujer,25.6
Galicia,2021,hombre,29.3
Galicia,2021,mujer,23.7
Islas Baleares,2016,hombre,19.5
Islas Baleares,2016,mujer,17.2
Islas Baleares,2017,hombre,20.4
Islas Baleares,2017,mujer,18.3
Islas Baleares,2018,hombre,20.8
Islas Baleares,2018,mujer,17.7
Islas Baleares,2019,hombre,20.4
Islas Baleares,2019,mujer,18.4
Islas Baleares,2020,hombre,27.3
Islas Baleares,2020,mujer,24.4
Islas Baleares,2021,hombre,22.6
Islas Baleares,2021,mujer,23.2
La Rioja,2016,hombre,22.8
La Rioja,2016,mujer,22.7
La Rioja,2017,hombre,23.5
La Rioja,2017,mujer,24.3
La Rioja,2018,hombre,26.8
La Rioja,2018,mujer,24.6
La Rioja,2019,hombre,31.5
La Rioja,2019,mujer,23.5
La Rioja,2020,hombre,32.2
La Rioja,2020,mujer,29.4
La Rioja,2021,hombre,28.8
La Rioja,2021,mujer,24.6
Madrid,2016,hombre,19.7
Madrid,2016,mujer,14.7
Madrid,2017,hombre,19.2
Madrid,2017,mujer,14.4
Madrid,2018,hombre,18.0
Madrid,2018,mujer,14.2
Madrid,2019,hombre,20.3
Madrid,2019,mujer,14.9
Madrid,2020,hombre,22.2
Madrid,2020,mujer,16.8
Madrid,2021,hombre,23.1
Madrid,2021,mujer,19.0
Melilla,2016,hombre,17.3
Melilla,2016,mujer,12.1
Melilla,2017,hombre,15.6
Melilla,2017,mujer,13.6
Melilla,2018,hombre,16.3
Melilla,2018,mujer,15.3
Melilla,2019,hombre,20.3
Melilla,2019,mujer,14.7
Melilla,2020,hombre,18.5
Melilla,2020,mujer,22.2
Melilla,2021,hombre,26.4
Melilla,2021,mujer,19.5
Murcia,2016,hombre,18.4
Murcia,2016,mujer,17.0
Murcia,2017,hombre,20.0
Murcia,2017,mujer,17.3
Murcia,2018,hombre,20.6
Murcia,2018,mujer,18.7
Murcia,2019,hombre,18.0
Murcia,2019,mujer,18.1
Murcia,2020,hombre,26.0
Murcia,2020,mujer,23.8
Murcia,2021,hombre,24.1
Murcia,2021,mujer,22.7
Navarra,2016,hombre,23.5
Navarra,2016,mujer,16.1
Navarra,2017,hombre,26.4
Navarra,2017,mujer,17.0
Navarra,2018,hombre,26.3
Navarra,2018,mujer,16.4
Navarra,2019,hombre,26.4
Navarra,2019,mujer,19.4
Navarra,2020,hombre,32.6
Navarra,2020,mujer,21.1
Navarra,2021,hombre,30.5
Navarra,2021,mujer,20.9
Pais Vasco,2016,hombre,30.6
Pais Vasco,2016,mujer,18.8
Pais Vasco,2017,hombre,30.6
Pais Vasco,2017,mujer,18.4
Pais Vasco,2018,hombre,30.1
Pais Vasco,2018,mujer,18.5
Pais Vasco,2019,hombre,29.4
Pais Vasco,2019,mujer,18.7
Pais Vasco,2020,hombre,32.7
Pais Vasco,2020,mujer,20.5
Pais Vasco,2021,hombre,31.3
Pais Vasco,2021,mujer,18.5
