Comunidad autónoma/provincia	Titularidad/financiación del centro	Tipo de centro	Total
01 ANDALUCÍA	TODOS LOS CENTROS	TOTAL	6.216
01 ANDALUCÍA	TODOS LOS CENTROS	Centros E. Primaria (2)	1.840
01 ANDALUCÍA	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	1.104
02 ARAGÓN	TODOS LOS CENTROS	TOTAL	880
02 ARAGÓN	TODOS LOS CENTROS	Centros E. Primaria (2)	289
02 ARAGÓN	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	147
03 ASTURIAS, PRINCIPADO DE	TODOS LOS CENTROS	TOTAL	497
03 ASTURIAS, PRINCIPADO DE	TODOS LOS CENTROS	Centros E. Primaria (2)	218
03 ASTURIAS, PRINCIPADO DE	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	108
04 BALEARS, ILLES	TODOS LOS CENTROS	TOTAL	665
04 BALEARS, ILLES	TODOS LOS CENTROS	Centros E. Primaria (2)	228
04 BALEARS, ILLES	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	97
05 CANARIAS	TODOS LOS CENTROS	TOTAL	1.161
05 CANARIAS	TODOS LOS CENTROS	Centros E. Primaria (2)	549
05 CANARIAS	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	228
06 CANTABRIA	TODOS LOS CENTROS	TOTAL	294
06 CANTABRIA	TODOS LOS CENTROS	Centros E. Primaria (2)	144
06 CANTABRIA	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	71
07 CASTILLA Y LEÓN	TODOS LOS CENTROS	TOTAL	1.584
07 CASTILLA Y LEÓN	TODOS LOS CENTROS	Centros E. Primaria (2)	629
07 CASTILLA Y LEÓN	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	296
08 CASTILLA-LA MANCHA	TODOS LOS CENTROS	TOTAL	1.486
08 CASTILLA-LA MANCHA	TODOS LOS CENTROS	Centros E. Primaria (2)	658
08 CASTILLA-LA MANCHA	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	268
09 CATALUŃA	TODOS LOS CENTROS	TOTAL	4.493
09 CATALUŃA	TODOS LOS CENTROS	Centros E. Primaria (2)	1.701
09 CATALUŃA	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	763
10 COMUNITAT VALENCIANA	TODOS LOS CENTROS	TOTAL	2.787
10 COMUNITAT VALENCIANA	TODOS LOS CENTROS	Centros E. Primaria (2)	1.032
10 COMUNITAT VALENCIANA	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	488
11 EXTREMADURA	TODOS LOS CENTROS	TOTAL	878
11 EXTREMADURA	TODOS LOS CENTROS	Centros E. Primaria (2)	408
11 EXTREMADURA	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	159
12 GALICIA	TODOS LOS CENTROS	TOTAL	1.881
12 GALICIA	TODOS LOS CENTROS	Centros E. Primaria (2)	628
12 GALICIA	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	339
13 MADRID, COMUNIDAD DE	TODOS LOS CENTROS	TOTAL	3.199
13 MADRID, COMUNIDAD DE	TODOS LOS CENTROS	Centros E. Primaria (2)	838
13 MADRID, COMUNIDAD DE	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	515
14 MURCIA, REGIÓN DE	TODOS LOS CENTROS	TOTAL	839
14 MURCIA, REGIÓN DE	TODOS LOS CENTROS	Centros E. Primaria (2)	390
14 MURCIA, REGIÓN DE	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	144
15 NAVARRA (Comunidad Foral de) (5)	TODOS LOS CENTROS	TOTAL	427
15 NAVARRA (Comunidad Foral de) (5)	TODOS LOS CENTROS	Centros E. Primaria (2)	177
15 NAVARRA (Comunidad Foral de) (5)	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	85
16 PAÍS VASCO	TODOS LOS CENTROS	TOTAL	1.173
16 PAÍS VASCO	TODOS LOS CENTROS	Centros E. Primaria (2)	335
16 PAÍS VASCO	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	284
17 RIOJA, LA	TODOS LOS CENTROS	TOTAL	178
17 RIOJA, LA	TODOS LOS CENTROS	Centros E. Primaria (2)	58
17 RIOJA, LA	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	33
18 CEUTA	TODOS LOS CENTROS	TOTAL	38
18 CEUTA	TODOS LOS CENTROS	Centros E. Primaria (2)	17
18 CEUTA	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	7
19 MELILLA	TODOS LOS CENTROS	TOTAL	34
19 MELILLA	TODOS LOS CENTROS	Centros E. Primaria (2)	15
19 MELILLA	TODOS LOS CENTROS	Centros ESO y/o Bachillerato y/o FP (3)	7
