Sexo	Comunidad autónoma/provincia	Titularidad del centro	Total
AMBOS SEXOS	01 ANDALUCÍA	TODOS LOS CENTROS	4.425
AMBOS SEXOS	01 ANDALUCÍA	CENTROS PÚBLICOS	3.313
AMBOS SEXOS	01 ANDALUCÍA	CENTROS PRIVADOS	1.112
AMBOS SEXOS	02 ARAGÓN	TODOS LOS CENTROS	836
AMBOS SEXOS	02 ARAGÓN	CENTROS PÚBLICOS	578
AMBOS SEXOS	02 ARAGÓN	CENTROS PRIVADOS	258
AMBOS SEXOS	03 ASTURIAS, PRINCIPADO DE	TODOS LOS CENTROS	185
AMBOS SEXOS	03 ASTURIAS, PRINCIPADO DE	CENTROS PÚBLICOS	125
AMBOS SEXOS	03 ASTURIAS, PRINCIPADO DE	CENTROS PRIVADOS	60
AMBOS SEXOS	04 BALEARS, ILLES	TODOS LOS CENTROS	558
AMBOS SEXOS	04 BALEARS, ILLES	CENTROS PÚBLICOS	445
AMBOS SEXOS	04 BALEARS, ILLES	CENTROS PRIVADOS	113
AMBOS SEXOS	05 CANARIAS	TODOS LOS CENTROS	889
AMBOS SEXOS	05 CANARIAS	CENTROS PÚBLICOS	834
AMBOS SEXOS	05 CANARIAS	CENTROS PRIVADOS	55
AMBOS SEXOS	06 CANTABRIA	TODOS LOS CENTROS	226
AMBOS SEXOS	06 CANTABRIA	CENTROS PÚBLICOS	134
AMBOS SEXOS	06 CANTABRIA	CENTROS PRIVADOS	92
AMBOS SEXOS	07 CASTILLA Y LEÓN	TODOS LOS CENTROS	1.148
AMBOS SEXOS	07 CASTILLA Y LEÓN	CENTROS PÚBLICOS	743
AMBOS SEXOS	07 CASTILLA Y LEÓN	CENTROS PRIVADOS	405
AMBOS SEXOS	08 CASTILLA-LA MANCHA	TODOS LOS CENTROS	1.349
AMBOS SEXOS	08 CASTILLA-LA MANCHA	CENTROS PÚBLICOS	1.190
AMBOS SEXOS	08 CASTILLA-LA MANCHA	CENTROS PRIVADOS	159
AMBOS SEXOS	09 CATALUŃA	TODOS LOS CENTROS	161
AMBOS SEXOS	09 CATALUŃA	CENTROS PÚBLICOS	161
AMBOS SEXOS	09 CATALUŃA	CENTROS PRIVADOS	0
AMBOS SEXOS	10 COMUNITAT VALENCIANA	TODOS LOS CENTROS	3.503
AMBOS SEXOS	10 COMUNITAT VALENCIANA	CENTROS PÚBLICOS	3.098
AMBOS SEXOS	10 COMUNITAT VALENCIANA	CENTROS PRIVADOS	405
AMBOS SEXOS	11 EXTREMADURA	TODOS LOS CENTROS	656
AMBOS SEXOS	11 EXTREMADURA	CENTROS PÚBLICOS	653
AMBOS SEXOS	11 EXTREMADURA	CENTROS PRIVADOS	3
AMBOS SEXOS	12 GALICIA	TODOS LOS CENTROS	1.624
AMBOS SEXOS	12 GALICIA	CENTROS PÚBLICOS	1.316
AMBOS SEXOS	12 GALICIA	CENTROS PRIVADOS	308
AMBOS SEXOS	13 MADRID, COMUNIDAD DE	TODOS LOS CENTROS	3.138
AMBOS SEXOS	13 MADRID, COMUNIDAD DE	CENTROS PÚBLICOS	2.215
AMBOS SEXOS	13 MADRID, COMUNIDAD DE	CENTROS PRIVADOS	923
AMBOS SEXOS	14 MURCIA, REGIÓN DE	TODOS LOS CENTROS	1.413
AMBOS SEXOS	14 MURCIA, REGIÓN DE	CENTROS PÚBLICOS	1.160
AMBOS SEXOS	14 MURCIA, REGIÓN DE	CENTROS PRIVADOS	253
AMBOS SEXOS	15 NAVARRA, COMUNIDAD FORAL DE	TODOS LOS CENTROS	291
AMBOS SEXOS	15 NAVARRA, COMUNIDAD FORAL DE	CENTROS PÚBLICOS	159
AMBOS SEXOS	15 NAVARRA, COMUNIDAD FORAL DE	CENTROS PRIVADOS	132
AMBOS SEXOS	16 PAÍS VASCO	TODOS LOS CENTROS	1.353
AMBOS SEXOS	16 PAÍS VASCO	CENTROS PÚBLICOS	422
AMBOS SEXOS	16 PAÍS VASCO	CENTROS PRIVADOS	931
AMBOS SEXOS	17 RIOJA, LA	TODOS LOS CENTROS	299
AMBOS SEXOS	17 RIOJA, LA	CENTROS PÚBLICOS	192
AMBOS SEXOS	17 RIOJA, LA	CENTROS PRIVADOS	107
AMBOS SEXOS	18 CEUTA	TODOS LOS CENTROS	120
AMBOS SEXOS	18 CEUTA	CENTROS PÚBLICOS	110
AMBOS SEXOS	18 CEUTA	CENTROS PRIVADOS	10
AMBOS SEXOS	19 MELILLA	TODOS LOS CENTROS	139
AMBOS SEXOS	19 MELILLA	CENTROS PÚBLICOS	139
AMBOS SEXOS	19 MELILLA	CENTROS PRIVADOS	0
