Comunidad autónoma/provincia	Sexo	Titularidad del centro	Total
01 ANDALUCÍA	AMBOS SEXOS	TODOS LOS CENTROS	24.276
01 ANDALUCÍA	AMBOS SEXOS	CENTROS PÚBLICOS	14.842
01 ANDALUCÍA	AMBOS SEXOS	CENTROS PRIVADOS	9.434
02 ARAGÓN	AMBOS SEXOS	TODOS LOS CENTROS	3.319
02 ARAGÓN	AMBOS SEXOS	CENTROS PÚBLICOS	2.126
02 ARAGÓN	AMBOS SEXOS	CENTROS PRIVADOS	1.193
03 ASTURIAS, PRINCIPADO DE	AMBOS SEXOS	TODOS LOS CENTROS	1.842
03 ASTURIAS, PRINCIPADO DE	AMBOS SEXOS	CENTROS PÚBLICOS	1.235
03 ASTURIAS, PRINCIPADO DE	AMBOS SEXOS	CENTROS PRIVADOS	607
04 BALEARS, ILLES	AMBOS SEXOS	TODOS LOS CENTROS	3.034
04 BALEARS, ILLES	AMBOS SEXOS	CENTROS PÚBLICOS	2.297
04 BALEARS, ILLES	AMBOS SEXOS	CENTROS PRIVADOS	737
05 CANARIAS	AMBOS SEXOS	TODOS LOS CENTROS	3.917
05 CANARIAS	AMBOS SEXOS	CENTROS PÚBLICOS	3.572
05 CANARIAS	AMBOS SEXOS	CENTROS PRIVADOS	345
06 CANTABRIA	AMBOS SEXOS	TODOS LOS CENTROS	1.522
06 CANTABRIA	AMBOS SEXOS	CENTROS PÚBLICOS	1.018
06 CANTABRIA	AMBOS SEXOS	CENTROS PRIVADOS	504
07 CASTILLA Y LEÓN	AMBOS SEXOS	TODOS LOS CENTROS	4.770
07 CASTILLA Y LEÓN	AMBOS SEXOS	CENTROS PÚBLICOS	3.159
07 CASTILLA Y LEÓN	AMBOS SEXOS	CENTROS PRIVADOS	1.611
08 CASTILLA-LA MANCHA	AMBOS SEXOS	TODOS LOS CENTROS	5.274
08 CASTILLA-LA MANCHA	AMBOS SEXOS	CENTROS PÚBLICOS	4.042
08 CASTILLA-LA MANCHA	AMBOS SEXOS	CENTROS PRIVADOS	1.232
09 CATALUŃA	AMBOS SEXOS	TODOS LOS CENTROS	22.023
09 CATALUŃA	AMBOS SEXOS	CENTROS PÚBLICOS	15.226
09 CATALUŃA	AMBOS SEXOS	CENTROS PRIVADOS	6.797
10 COMUNITAT VALENCIANA	AMBOS SEXOS	TODOS LOS CENTROS	16.568
10 COMUNITAT VALENCIANA	AMBOS SEXOS	CENTROS PÚBLICOS	11.048
10 COMUNITAT VALENCIANA	AMBOS SEXOS	CENTROS PRIVADOS	5.520
11 EXTREMADURA	AMBOS SEXOS	TODOS LOS CENTROS	2.665
11 EXTREMADURA	AMBOS SEXOS	CENTROS PÚBLICOS	2.172
11 EXTREMADURA	AMBOS SEXOS	CENTROS PRIVADOS	493
12 GALICIA	AMBOS SEXOS	TODOS LOS CENTROS	6.094
12 GALICIA	AMBOS SEXOS	CENTROS PÚBLICOS	4.641
12 GALICIA	AMBOS SEXOS	CENTROS PRIVADOS	1.453
13 MADRID, COMUNIDAD DE	AMBOS SEXOS	TODOS LOS CENTROS	14.011
13 MADRID, COMUNIDAD DE	AMBOS SEXOS	CENTROS PÚBLICOS	7.796
13 MADRID, COMUNIDAD DE	AMBOS SEXOS	CENTROS PRIVADOS	6.215
14 MURCIA, REGIÓN DE	AMBOS SEXOS	TODOS LOS CENTROS	3.973
14 MURCIA, REGIÓN DE	AMBOS SEXOS	CENTROS PÚBLICOS	2.658
14 MURCIA, REGIÓN DE	AMBOS SEXOS	CENTROS PRIVADOS	1.315
15 NAVARRA, COMUNIDAD FORAL DE	AMBOS SEXOS	TODOS LOS CENTROS	1.679
15 NAVARRA, COMUNIDAD FORAL DE	AMBOS SEXOS	CENTROS PÚBLICOS	1.325
15 NAVARRA, COMUNIDAD FORAL DE	AMBOS SEXOS	CENTROS PRIVADOS	354
16 PAÍS VASCO	AMBOS SEXOS	TODOS LOS CENTROS	5.623
16 PAÍS VASCO	AMBOS SEXOS	CENTROS PÚBLICOS	3.384
16 PAÍS VASCO	AMBOS SEXOS	CENTROS PRIVADOS	2.239
17 RIOJA, LA	AMBOS SEXOS	TODOS LOS CENTROS	886
17 RIOJA, LA	AMBOS SEXOS	CENTROS PÚBLICOS	608
17 RIOJA, LA	AMBOS SEXOS	CENTROS PRIVADOS	278
18 CEUTA	AMBOS SEXOS	TODOS LOS CENTROS	264
18 CEUTA	AMBOS SEXOS	CENTROS PÚBLICOS	264
18 CEUTA	AMBOS SEXOS	CENTROS PRIVADOS	0
19 MELILLA	AMBOS SEXOS	TODOS LOS CENTROS	204
19 MELILLA	AMBOS SEXOS	CENTROS PÚBLICOS	204
19 MELILLA	AMBOS SEXOS	CENTROS PRIVADOS	0
