Comunidad autónoma/provincia	Titularidad del centro	Sexo	Total
01 ANDALUCÍA	TODOS LOS CENTROS	AMBOS SEXOS	29.658
01 ANDALUCÍA	CENTROS PÚBLICOS	AMBOS SEXOS	17.606
01 ANDALUCÍA	CENTROS PRIVADOS	AMBOS SEXOS	12.052
02 ARAGÓN	TODOS LOS CENTROS	AMBOS SEXOS	4.001
02 ARAGÓN	CENTROS PÚBLICOS	AMBOS SEXOS	2.343
02 ARAGÓN	CENTROS PRIVADOS	AMBOS SEXOS	1.658
03 ASTURIAS, PRINCIPADO DE	TODOS LOS CENTROS	AMBOS SEXOS	2.563
03 ASTURIAS, PRINCIPADO DE	CENTROS PÚBLICOS	AMBOS SEXOS	1.911
03 ASTURIAS, PRINCIPADO DE	CENTROS PRIVADOS	AMBOS SEXOS	652
04 BALEARS, ILLES	TODOS LOS CENTROS	AMBOS SEXOS	2.489
04 BALEARS, ILLES	CENTROS PÚBLICOS	AMBOS SEXOS	2.006
04 BALEARS, ILLES	CENTROS PRIVADOS	AMBOS SEXOS	483
05 CANARIAS	TODOS LOS CENTROS	AMBOS SEXOS	6.368
05 CANARIAS	CENTROS PÚBLICOS	AMBOS SEXOS	5.536
05 CANARIAS	CENTROS PRIVADOS	AMBOS SEXOS	832
06 CANTABRIA	TODOS LOS CENTROS	AMBOS SEXOS	1.747
06 CANTABRIA	CENTROS PÚBLICOS	AMBOS SEXOS	1.233
06 CANTABRIA	CENTROS PRIVADOS	AMBOS SEXOS	514
07 CASTILLA Y LEÓN	TODOS LOS CENTROS	AMBOS SEXOS	5.888
07 CASTILLA Y LEÓN	CENTROS PÚBLICOS	AMBOS SEXOS	4.219
07 CASTILLA Y LEÓN	CENTROS PRIVADOS	AMBOS SEXOS	1.669
08 CASTILLA-LA MANCHA	TODOS LOS CENTROS	AMBOS SEXOS	5.754
08 CASTILLA-LA MANCHA	CENTROS PÚBLICOS	AMBOS SEXOS	4.913
08 CASTILLA-LA MANCHA	CENTROS PRIVADOS	AMBOS SEXOS	841
09 CATALUŃA	TODOS LOS CENTROS	AMBOS SEXOS	23.235
09 CATALUŃA	CENTROS PÚBLICOS	AMBOS SEXOS	14.440
09 CATALUŃA	CENTROS PRIVADOS	AMBOS SEXOS	8.795
10 COMUNITAT VALENCIANA	TODOS LOS CENTROS	AMBOS SEXOS	18.149
10 COMUNITAT VALENCIANA	CENTROS PÚBLICOS	AMBOS SEXOS	12.359
10 COMUNITAT VALENCIANA	CENTROS PRIVADOS	AMBOS SEXOS	5.790
11 EXTREMADURA	TODOS LOS CENTROS	AMBOS SEXOS	2.822
11 EXTREMADURA	CENTROS PÚBLICOS	AMBOS SEXOS	2.267
11 EXTREMADURA	CENTROS PRIVADOS	AMBOS SEXOS	555
12 GALICIA	TODOS LOS CENTROS	AMBOS SEXOS	7.881
12 GALICIA	CENTROS PÚBLICOS	AMBOS SEXOS	6.087
12 GALICIA	CENTROS PRIVADOS	AMBOS SEXOS	1.794
13 MADRID, COMUNIDAD DE	TODOS LOS CENTROS	AMBOS SEXOS	21.414
13 MADRID, COMUNIDAD DE	CENTROS PÚBLICOS	AMBOS SEXOS	12.537
13 MADRID, COMUNIDAD DE	CENTROS PRIVADOS	AMBOS SEXOS	8.877
14 MURCIA, REGIÓN DE	TODOS LOS CENTROS	AMBOS SEXOS	5.109
14 MURCIA, REGIÓN DE	CENTROS PÚBLICOS	AMBOS SEXOS	3.438
14 MURCIA, REGIÓN DE	CENTROS PRIVADOS	AMBOS SEXOS	1.671
15 NAVARRA, COMUNIDAD FORAL DE	TODOS LOS CENTROS	AMBOS SEXOS	1.762
15 NAVARRA, COMUNIDAD FORAL DE	CENTROS PÚBLICOS	AMBOS SEXOS	1.355
15 NAVARRA, COMUNIDAD FORAL DE	CENTROS PRIVADOS	AMBOS SEXOS	407
16 PAÍS VASCO	TODOS LOS CENTROS	AMBOS SEXOS	8.645
16 PAÍS VASCO	CENTROS PÚBLICOS	AMBOS SEXOS	4.636
16 PAÍS VASCO	CENTROS PRIVADOS	AMBOS SEXOS	4.009
17 RIOJA, LA	TODOS LOS CENTROS	AMBOS SEXOS	948
17 RIOJA, LA	CENTROS PÚBLICOS	AMBOS SEXOS	724
17 RIOJA, LA	CENTROS PRIVADOS	AMBOS SEXOS	224
18 CEUTA	TODOS LOS CENTROS	AMBOS SEXOS	258
18 CEUTA	CENTROS PÚBLICOS	AMBOS SEXOS	258
18 CEUTA	CENTROS PRIVADOS	AMBOS SEXOS	0
19 MELILLA	TODOS LOS CENTROS	AMBOS SEXOS	251
19 MELILLA	CENTROS PÚBLICOS	AMBOS SEXOS	251
19 MELILLA	CENTROS PRIVADOS	AMBOS SEXOS	0
