Sexo	Modalidad	Comunidad autónoma/provincia	Titularidad del centro	Total
AMBOS SEXOS	Total	01 ANDALUCÍA	CENTROS PÚBLICOS	87,4
AMBOS SEXOS	Total	01 ANDALUCÍA	CENTROS PRIVADOS	95,3
AMBOS SEXOS	Total	02 ARAGÓN	CENTROS PÚBLICOS	89,1
AMBOS SEXOS	Total	02 ARAGÓN	CENTROS PRIVADOS	96,9
AMBOS SEXOS	Total	03 ASTURIAS, PRINCIPADO DE	CENTROS PÚBLICOS	85,2
AMBOS SEXOS	Total	03 ASTURIAS, PRINCIPADO DE	CENTROS PRIVADOS	95,5
AMBOS SEXOS	Total	04 BALEARS, ILLES	CENTROS PÚBLICOS	83,1
AMBOS SEXOS	Total	04 BALEARS, ILLES	CENTROS PRIVADOS	89,1
AMBOS SEXOS	Total	05 CANARIAS	CENTROS PÚBLICOS	85,6
AMBOS SEXOS	Total	05 CANARIAS	CENTROS PRIVADOS	96,3
AMBOS SEXOS	Total	06 CANTABRIA	CENTROS PÚBLICOS	89,9
AMBOS SEXOS	Total	06 CANTABRIA	CENTROS PRIVADOS	94,7
AMBOS SEXOS	Total	07 CASTILLA Y LEÓN	CENTROS PÚBLICOS	85,1
AMBOS SEXOS	Total	07 CASTILLA Y LEÓN	CENTROS PRIVADOS	95,4
AMBOS SEXOS	Total	08 CASTILLA-LA MANCHA	CENTROS PÚBLICOS	87,1
AMBOS SEXOS	Total	08 CASTILLA-LA MANCHA	CENTROS PRIVADOS	95,6
AMBOS SEXOS	Total	09 CATALUŃA	CENTROS PÚBLICOS	89,4
AMBOS SEXOS	Total	09 CATALUŃA	CENTROS PRIVADOS	96,2
AMBOS SEXOS	Total	10 COMUNITAT VALENCIANA	CENTROS PÚBLICOS	86,1
AMBOS SEXOS	Total	10 COMUNITAT VALENCIANA	CENTROS PRIVADOS	94,6
AMBOS SEXOS	Total	11 EXTREMADURA	CENTROS PÚBLICOS	86,4
AMBOS SEXOS	Total	11 EXTREMADURA	CENTROS PRIVADOS	95,2
AMBOS SEXOS	Total	12 GALICIA	CENTROS PÚBLICOS	86,9
AMBOS SEXOS	Total	12 GALICIA	CENTROS PRIVADOS	96,2
AMBOS SEXOS	Total	13 MADRID, COMUNIDAD DE	CENTROS PÚBLICOS	82,4
AMBOS SEXOS	Total	13 MADRID, COMUNIDAD DE	CENTROS PRIVADOS	95,2
AMBOS SEXOS	Total	14 MURCIA, REGIÓN DE	CENTROS PÚBLICOS	85,5
AMBOS SEXOS	Total	14 MURCIA, REGIÓN DE	CENTROS PRIVADOS	90,9
AMBOS SEXOS	Total	15 NAVARRA, COMUNIDAD FORAL DE	CENTROS PÚBLICOS	89,5
AMBOS SEXOS	Total	15 NAVARRA, COMUNIDAD FORAL DE	CENTROS PRIVADOS	95,7
AMBOS SEXOS	Total	16 PAÍS VASCO	CENTROS PÚBLICOS	93,2
AMBOS SEXOS	Total	16 PAÍS VASCO	CENTROS PRIVADOS	96,4
AMBOS SEXOS	Total	17 RIOJA, LA (2)	CENTROS PÚBLICOS	89,1
AMBOS SEXOS	Total	17 RIOJA, LA (2)	CENTROS PRIVADOS	94,2
AMBOS SEXOS	Total	18 CEUTA	CENTROS PÚBLICOS	74,7
AMBOS SEXOS	Total	18 CEUTA	CENTROS PRIVADOS	95,7
AMBOS SEXOS	Total	19 MELILLA	CENTROS PÚBLICOS	87,1
AMBOS SEXOS	Total	19 MELILLA	CENTROS PRIVADOS	93,3
