Comunidad autónoma/provincia	Tipo de promoción	Sexo	Curso	Titularidad/financiación del centro	Total
01 ANDALUCÍA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	85,9
01 ANDALUCÍA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	93,2
01 ANDALUCÍA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	92,5
02 ARAGÓN	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	87,1
02 ARAGÓN	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	91,1
02 ARAGÓN	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	90,5
03 ASTURIAS, PRINCIPADO DE	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	86,6
03 ASTURIAS, PRINCIPADO DE	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	92,1
03 ASTURIAS, PRINCIPADO DE	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	91,6
04 BALEARS, ILLES	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	84,4
04 BALEARS, ILLES	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	92,5
04 BALEARS, ILLES	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	91,1
05 CANARIAS	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	85,0
05 CANARIAS	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	95,9
05 CANARIAS	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	95,3
06 CANTABRIA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	91,3
06 CANTABRIA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	94,4
06 CANTABRIA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	94,4
07 CASTILLA Y LEÓN	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	85,2
07 CASTILLA Y LEÓN	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	92,6
07 CASTILLA Y LEÓN	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	92,6
08 CASTILLA-LA MANCHA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	83,9
08 CASTILLA-LA MANCHA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	91,2
08 CASTILLA-LA MANCHA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	90,4
09 CATALUŃA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	85,6
09 CATALUŃA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	93,8
09 CATALUŃA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	93,6
10 COMUNITAT VALENCIANA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	82,7
10 COMUNITAT VALENCIANA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	92,7
10 COMUNITAT VALENCIANA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	92,3
11 EXTREMADURA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	88,6
11 EXTREMADURA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	92,5
11 EXTREMADURA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	92,3
12 GALICIA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	87,7
12 GALICIA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	92,9
12 GALICIA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	92,6
13 MADRID, COMUNIDAD DE	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	83,0
13 MADRID, COMUNIDAD DE	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	93,3
13 MADRID, COMUNIDAD DE	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	91,7
14 MURCIA, REGIÓN DE	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	81,5
14 MURCIA, REGIÓN DE	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	90,3
14 MURCIA, REGIÓN DE	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	89,9
15 NAVARRA, COMUNIDAD FORAL DE	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	90,2
15 NAVARRA, COMUNIDAD FORAL DE	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	94,3
15 NAVARRA, COMUNIDAD FORAL DE	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	94,4
16 PAÍS VASCO	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	93,5
16 PAÍS VASCO	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	95,0
16 PAÍS VASCO	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	95,1
17 RIOJA, LA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	83,9
17 RIOJA, LA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	94,1
17 RIOJA, LA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	94,1
18 CEUTA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	79,0
18 CEUTA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	93,2
18 CEUTA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	93,2
19 MELILLA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros públicos	82,1
19 MELILLA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados	97,6
19 MELILLA	Total promociona	AMBOS SEXOS	Cuarto curso	Centros privados - Ense. concertada	97,6
